[0.069s] Invoking command in '/home/ubuntu/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/ubuntu/microros_ws/src/micro_ros_setup -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ubuntu/microros_ws/install/micro_ros_setup
[0.162s] -- Found ament_cmake: 1.3.9 (/opt/ros/humble/share/ament_cmake/cmake)
[1.072s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[1.828s] -- Configuring done
[1.861s] -- Generating done
[1.872s] -- Build files have been written to: /home/ubuntu/microros_ws/build/micro_ros_setup
[1.890s] Invoked command in '/home/ubuntu/microros_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/ubuntu/microros_ws/src/micro_ros_setup -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ubuntu/microros_ws/install/micro_ros_setup
[1.925s] Invoking command in '/home/ubuntu/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/microros_ws/build/micro_ros_setup -- -j4 -l4
[2.228s] Invoked command in '/home/ubuntu/microros_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/microros_ws/build/micro_ros_setup -- -j4 -l4
[2.392s] Invoking command in '/home/ubuntu/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/ubuntu/microros_ws/build/micro_ros_setup
[2.475s] -- Install configuration: ""
[2.478s] -- Execute custom install script
[2.516s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup
[2.558s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup
[2.608s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh
[2.647s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv
[2.691s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh
[2.751s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv
[2.818s] -- Symlinking: /home/ubuntu/microros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash
